ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
13,script-related,2,1202,6.65,2.272727273,1
13,script-unrelated,9,289,1.25,1.142857143,0
13,script-unrelated,27,637,1.25,1.142857143,1
13,script-unrelated,21,636,1.25,1.142857143,0
13,script-unrelated,24,1176,1.25,1.142857143,1
13,script-unrelated,3,747,1.25,1.142857143,1
13,script-unrelated,30,978,1.25,1.142857143,1
13,script-unrelated,15,590,1.25,1.142857143,1
13,script-unrelated,6,648,1.25,1.142857143,1
13,script-unrelated,18,572,1.25,1.142857143,1
13,script-unrelated,12,713,1.25,1.142857143,1
14,control,2,1257,6.5,7,1
14,control,26,861,6.5,7,1
14,control,20,826,6.5,7,1
14,control,29,424,6.5,7,1
14,control,11,787,6.5,7,1
14,control,8,1215,6.5,7,1
14,control,14,908,6.5,7,1
14,control,5,612,6.5,7,1
14,control,17,970,6.5,7,1
14,control,23,740,6.5,7,1
14,script-related,27,848,6.5,2.333333333,0
14,script-related,9,651,6.5,2.333333333,0
14,script-related,21,1002,6.5,2.333333333,1
14,script-related,12,437,6.5,2.333333333,1
14,script-related,6,439,6.5,2.333333333,1
14,script-related,18,415,6.5,2.333333333,1
14,script-related,15,803,6.5,2.333333333,0
14,script-related,3,783,6.5,2.333333333,0
14,script-related,30,583,6.5,2.333333333,1
14,script-related,24,592,6.5,2.333333333,1
14,script-unrelated,1,1112,1.2,1.727272727,1
14,script-unrelated,25,1133,1.2,1.727272727,1
14,script-unrelated,7,1530,1.2,1.727272727,1
14,script-unrelated,19,1910,1.2,1.727272727,1
14,script-unrelated,13,2258,1.2,1.727272727,1
14,script-unrelated,28,527,1.2,1.727272727,1
14,script-unrelated,10,635,1.2,1.727272727,1
14,script-unrelated,4,960,1.2,1.727272727,1
14,script-unrelated,16,555,1.2,1.727272727,1
14,script-unrelated,22,588,1.2,1.727272727,1
14,script-unrelated,31,618,1.2,1.727272727,1
15,control,24,616,6.75,6.727272727,1
15,control,6,335,6.75,6.727272727,1
15,control,21,761,6.75,6.727272727,1
15,control,18,706,6.75,6.727272727,1
15,control,3,478,6.75,6.727272727,1
15,control,15,753,6.75,6.727272727,1
15,control,27,550,6.75,6.727272727,1
15,control,12,667,6.75,6.727272727,1
15,control,9,301,6.75,6.727272727,1
15,control,30,696,6.75,6.727272727,1
15,script-related,4,871,6.75,2.285714286,1
15,script-related,28,656,6.75,2.285714286,1
15,script-related,19,788,6.75,2.285714286,1
15,script-related,13,1100,6.75,2.285714286,1
15,script-related,25,675,6.75,2.285714286,1
15,script-related,22,595,6.75,2.285714286,1
15,script-related,16,370,6.75,2.285714286,1
15,script-related,10,803,6.75,2.285714286,1
15,script-related,7,980,6.75,2.285714286,1
15,script-related,1,851,6.75,2.285714286,1
15,script-related,31,583,6.75,2.285714286,1
15,script-unrelated,5,1236,1.2,1.583333333,1
15,script-unrelated,14,861,1.2,1.583333333,1
15,script-unrelated,23,544,1.2,1.583333333,1
15,script-unrelated,26,634,1.2,1.583333333,1
15,script-unrelated,17,1281,1.2,1.583333333,1
15,script-unrelated,20,1097,1.2,1.583333333,1
15,script-unrelated,29,438,1.2,1.583333333,1
15,script-unrelated,8,849,1.2,1.583333333,1
15,script-unrelated,11,521,1.2,1.583333333,1
15,script-unrelated,2,2557,1.2,1.583333333,1
16,control,13,1460,6.45,5.416666667,1
16,control,10,936,6.45,5.416666667,1
16,control,19,743,6.45,5.416666667,1
16,control,22,809,6.45,5.416666667,1
16,control,28,557,6.45,5.416666667,1
16,control,7,893,6.45,5.416666667,1
16,control,1,730,6.45,5.416666667,1
16,control,25,456,6.45,5.416666667,1
16,control,16,1389,6.45,5.416666667,0
16,control,31,499,6.45,5.416666667,1
16,control,4,955,6.45,5.416666667,1
16,script-related,20,685,6.45,3.181818182,1
16,script-related,11,722,6.45,3.181818182,0
16,script-related,5,1349,6.45,3.181818182,1
16,script-related,8,723,6.45,3.181818182,0
16,script-related,23,873,6.45,3.181818182,1
16,script-related,17,990,6.45,3.181818182,1
16,script-related,26,502,6.45,3.181818182,1
16,script-related,14,866,6.45,3.181818182,1
16,script-related,2,1295,6.45,3.181818182,1
16,script-related,29,439,6.45,3.181818182,0
16,script-unrelated,12,827,1.7,1,1
16,script-unrelated,6,545,1.7,1,1
16,script-unrelated,18,596,1.7,1,1
16,script-unrelated,9,324,1.7,1,0
16,script-unrelated,24,645,1.7,1,1
16,script-unrelated,3,500,1.7,1,1
16,script-unrelated,30,765,1.7,1,1
16,script-unrelated,27,639,1.7,1,1
16,script-unrelated,21,760,1.7,1,0
16,script-unrelated,15,650,1.7,1,1
17,control,5,1190,6.2,6,1
17,control,14,984,6.2,6,1
17,control,8,999,6.2,6,1
17,control,26,565,6.2,6,1
17,control,29,460,6.2,6,1
17,control,23,562,6.2,6,1
17,control,11,1651,6.2,6,1
17,control,20,825,6.2,6,1
17,control,2,1500,6.2,6,1
17,control,17,1437,6.2,6,1
17,script-related,6,357,6.2,2,1
17,script-related,27,847,6.2,2,1
17,script-related,9,671,6.2,2,0
17,script-related,24,446,6.2,2,1
17,script-related,30,785,6.2,2,1
17,script-related,18,1206,6.2,2,1
17,script-related,21,1137,6.2,2,1
17,script-related,15,863,6.2,2,0
17,script-related,3,722,6.2,2,1
17,script-related,12,554,6.2,2,1
17,script-unrelated,4,1107,1.8,1.818181818,1
17,script-unrelated,13,1427,1.8,1.818181818,1
17,script-unrelated,31,602,1.8,1.818181818,1
17,script-unrelated,10,742,1.8,1.818181818,0
17,script-unrelated,28,382,1.8,1.818181818,1
17,script-unrelated,25,730,1.8,1.818181818,1
17,script-unrelated,7,1234,1.8,1.818181818,1
17,script-unrelated,22,680,1.8,1.818181818,1
17,script-unrelated,16,613,1.8,1.818181818,1
17,script-unrelated,19,1333,1.8,1.818181818,1
17,script-unrelated,1,1042,1.8,1.818181818,0
18,control,24,503,6.6,6.545454545,1
18,control,6,293,6.6,6.545454545,1
18,control,3,483,6.6,6.545454545,1
18,control,9,257,6.6,6.545454545,1
18,control,30,1240,6.6,6.545454545,1
18,control,18,520,6.6,6.545454545,1
18,control,21,693,6.6,6.545454545,1
18,control,15,681,6.6,6.545454545,1
18,control,27,569,6.6,6.545454545,0
18,control,12,499,6.6,6.545454545,1
18,script-related,22,566,6.6,1.428571429,1
18,script-related,1,1212,6.6,1.428571429,1
18,script-related,4,826,6.6,1.428571429,1
18,script-related,10,1013,6.6,1.428571429,0
18,script-related,31,688,6.6,1.428571429,1
18,script-related,13,972,6.6,1.428571429,1
18,script-related,25,626,6.6,1.428571429,1
18,script-related,19,1058,6.6,1.428571429,0
18,script-related,7,1097,6.6,1.428571429,1
18,script-related,28,626,6.6,1.428571429,1
18,script-related,16,318,6.6,1.428571429,1
18,script-unrelated,17,1308,1.6,1.083333333,1
18,script-unrelated,23,483,1.6,1.083333333,1
18,script-unrelated,2,2922,1.6,1.083333333,0
18,script-unrelated,29,441,1.6,1.083333333,1
18,script-unrelated,5,1399,1.6,1.083333333,1
18,script-unrelated,11,440,1.6,1.083333333,1
18,script-unrelated,20,754,1.6,1.083333333,1
18,script-unrelated,8,900,1.6,1.083333333,1
18,script-unrelated,14,759,1.6,1.083333333,1
18,script-unrelated,26,569,1.6,1.083333333,1
19,control,19,603,6.45,6.166666667,1
19,control,28,722,6.45,6.166666667,1
19,control,1,668,6.45,6.166666667,1
19,control,22,814,6.45,6.166666667,1
19,control,7,1127,6.45,6.166666667,1
19,control,16,615,6.45,6.166666667,1
19,control,31,482,6.45,6.166666667,1
19,control,10,999,6.45,6.166666667,1
19,control,4,1665,6.45,6.166666667,1
19,control,13,1510,6.45,6.166666667,1
19,control,25,527,6.45,6.166666667,1
19,script-related,5,1446,6.45,2.454545455,1
19,script-related,26,637,6.45,2.454545455,1
19,script-related,20,781,6.45,2.454545455,1
19,script-related,17,1554,6.45,2.454545455,1
19,script-related,8,668,6.45,2.454545455,1
19,script-related,14,648,6.45,2.454545455,0
19,script-related,29,462,6.45,2.454545455,1
19,script-related,23,1431,6.45,2.454545455,1
19,script-related,2,1278,6.45,2.454545455,1
19,script-related,11,894,6.45,2.454545455,0
19,script-unrelated,30,1021,1.6,2,1
19,script-unrelated,9,314,1.6,2,0
19,script-unrelated,27,976,1.6,2,1
19,script-unrelated,6,619,1.6,2,1
19,script-unrelated,18,598,1.6,2,1
19,script-unrelated,21,792,1.6,2,0
19,script-unrelated,24,1007,1.6,2,1
19,script-unrelated,12,1346,1.6,2,1
19,script-unrelated,15,985,1.6,2,1
19,script-unrelated,3,490,1.6,2,1
2,control,20,673,5.95,6.571428571,1
2,control,8,1381,5.95,6.571428571,1
2,control,2,1170,5.95,6.571428571,1
2,control,29,418,5.95,6.571428571,1
2,control,26,554,5.95,6.571428571,1
2,control,5,826,5.95,6.571428571,1
2,control,23,442,5.95,6.571428571,1
2,control,14,526,5.95,6.571428571,1
2,control,11,531,5.95,6.571428571,1
2,control,17,1038,5.95,6.571428571,1
2,script-related,21,708,5.95,3,0
2,script-related,3,591,5.95,3,1
2,script-related,27,768,5.95,3,1
2,script-related,18,538,5.95,3,1
2,script-related,15,897,5.95,3,0
2,script-related,6,348,5.95,3,1
2,script-related,30,853,5.95,3,1
2,script-related,9,285,5.95,3,0
2,script-related,12,472,5.95,3,1
2,script-related,24,488,5.95,3,1
2,script-unrelated,19,1060,2.3,2.363636364,1
2,script-unrelated,31,1127,2.3,2.363636364,1
2,script-unrelated,25,584,2.3,2.363636364,1
2,script-unrelated,13,1140,2.3,2.363636364,1
2,script-unrelated,7,1323,2.3,2.363636364,1
2,script-unrelated,22,699,2.3,2.363636364,1
2,script-unrelated,10,1018,2.3,2.363636364,1
2,script-unrelated,16,678,2.3,2.363636364,1
2,script-unrelated,1,812,2.3,2.363636364,1
2,script-unrelated,28,480,2.3,2.363636364,1
2,script-unrelated,4,688,2.3,2.363636364,1
20,control,29,519,6.65,5.714285714,0
20,control,5,753,6.65,5.714285714,1
20,control,8,1145,6.65,5.714285714,1
20,control,23,525,6.65,5.714285714,0
20,control,11,551,6.65,5.714285714,1
20,control,17,1116,6.65,5.714285714,0
20,control,2,1375,6.65,5.714285714,1
20,control,20,694,6.65,5.714285714,1
20,control,26,554,6.65,5.714285714,1
20,control,14,1000,6.65,5.714285714,1
20,script-related,24,407,6.65,1.75,1
20,script-related,6,439,6.65,1.75,1
20,script-related,21,783,6.65,1.75,1
20,script-related,27,753,6.65,1.75,1
20,script-related,18,470,6.65,1.75,1
20,script-related,12,534,6.65,1.75,1
20,script-related,15,746,6.65,1.75,1
20,script-related,9,472,6.65,1.75,1
20,script-related,3,739,6.65,1.75,1
20,script-related,30,746,6.65,1.75,0
20,script-unrelated,4,1070,1.2,2.363636364,1
20,script-unrelated,13,1201,1.2,2.363636364,1
20,script-unrelated,10,845,1.2,2.363636364,1
20,script-unrelated,16,395,1.2,2.363636364,1
20,script-unrelated,25,835,1.2,2.363636364,1
20,script-unrelated,19,1443,1.2,2.363636364,0
20,script-unrelated,22,641,1.2,2.363636364,1
20,script-unrelated,31,721,1.2,2.363636364,1
