ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
13,script-unrelated,9,168,1.25,1.142857143,0
13,script-unrelated,27,301,1.25,1.142857143,1
13,script-unrelated,21,313,1.25,1.142857143,0
13,script-unrelated,24,825,1.25,1.142857143,1
13,script-unrelated,3,504,1.25,1.142857143,1
13,script-unrelated,30,585,1.25,1.142857143,1
13,script-unrelated,15,277,1.25,1.142857143,1
13,script-unrelated,6,237,1.25,1.142857143,1
13,script-unrelated,18,272,1.25,1.142857143,1
13,script-unrelated,12,148,1.25,1.142857143,1
14,control,2,695,6.5,7,1
14,control,26,460,6.5,7,1
14,control,20,405,6.5,7,1
14,control,29,213,6.5,7,1
14,control,11,410,6.5,7,1
14,control,8,702,6.5,7,1
14,control,14,480,6.5,7,1
14,control,5,353,6.5,7,1
14,control,17,479,6.5,7,1
14,control,23,484,6.5,7,1
14,script-related,27,396,6.5,2.333333333,0
14,script-related,9,292,6.5,2.333333333,0
14,script-related,21,540,6.5,2.333333333,1
14,script-related,12,195,6.5,2.333333333,1
14,script-related,6,269,6.5,2.333333333,1
14,script-related,18,204,6.5,2.333333333,1
14,script-related,15,361,6.5,2.333333333,0
14,script-related,3,412,6.5,2.333333333,0
14,script-related,30,302,6.5,2.333333333,1
14,script-related,24,229,6.5,2.333333333,1
14,script-unrelated,1,629,1.2,1.727272727,1
14,script-unrelated,25,587,1.2,1.727272727,1
14,script-unrelated,7,789,1.2,1.727272727,1
14,script-unrelated,19,1081,1.2,1.727272727,1
14,script-unrelated,13,1553,1.2,1.727272727,1
14,script-unrelated,28,265,1.2,1.727272727,1
14,script-unrelated,10,308,1.2,1.727272727,1
14,script-unrelated,4,506,1.2,1.727272727,1
14,script-unrelated,16,206,1.2,1.727272727,1
14,script-unrelated,22,276,1.2,1.727272727,1
14,script-unrelated,31,291,1.2,1.727272727,1
15,control,24,286,6.75,6.727272727,1
15,control,6,171,6.75,6.727272727,1
15,control,21,401,6.75,6.727272727,1
15,control,18,373,6.75,6.727272727,1
15,control,3,199,6.75,6.727272727,1
15,control,15,409,6.75,6.727272727,1
15,control,27,224,6.75,6.727272727,1
15,control,12,324,6.75,6.727272727,1
15,control,9,154,6.75,6.727272727,1
15,control,30,380,6.75,6.727272727,1
15,script-related,4,514,6.75,2.285714286,1
15,script-related,28,429,6.75,2.285714286,1
15,script-related,19,419,6.75,2.285714286,1
15,script-related,13,578,6.75,2.285714286,1
15,script-related,25,284,6.75,2.285714286,1
15,script-related,22,324,6.75,2.285714286,1
15,script-related,16,185,6.75,2.285714286,1
15,script-related,10,406,6.75,2.285714286,1
15,script-related,7,521,6.75,2.285714286,1
15,script-related,1,414,6.75,2.285714286,1
15,script-related,31,253,6.75,2.285714286,1
15,script-unrelated,5,696,1.2,1.583333333,1
15,script-unrelated,14,489,1.2,1.583333333,1
15,script-unrelated,23,233,1.2,1.583333333,1
15,script-unrelated,26,332,1.2,1.583333333,1
15,script-unrelated,17,650,1.2,1.583333333,1
15,script-unrelated,20,846,1.2,1.583333333,1
15,script-unrelated,29,232,1.2,1.583333333,1
15,script-unrelated,8,352,1.2,1.583333333,1
15,script-unrelated,11,254,1.2,1.583333333,1
15,script-unrelated,2,2064,1.2,1.583333333,1
16,control,13,1051,6.45,5.416666667,1
16,control,10,425,6.45,5.416666667,1
16,control,19,375,6.45,5.416666667,1
16,control,22,352,6.45,5.416666667,1
16,control,28,285,6.45,5.416666667,1
16,control,7,468,6.45,5.416666667,1
16,control,1,385,6.45,5.416666667,1
16,control,25,237,6.45,5.416666667,1
16,control,16,1150,6.45,5.416666667,0
16,control,31,259,6.45,5.416666667,1
16,control,4,463,6.45,5.416666667,1
16,script-related,20,272,6.45,3.181818182,1
16,script-related,11,397,6.45,3.181818182,0
16,script-related,5,599,6.45,3.181818182,1
16,script-related,8,263,6.45,3.181818182,0
16,script-related,23,454,6.45,3.181818182,1
16,script-related,17,477,6.45,3.181818182,1
16,script-related,26,236,6.45,3.181818182,1
16,script-related,14,434,6.45,3.181818182,1
16,script-related,2,947,6.45,3.181818182,1
16,script-related,29,200,6.45,3.181818182,0
16,script-unrelated,12,418,1.7,1,1
16,script-unrelated,6,221,1.7,1,1
16,script-unrelated,18,264,1.7,1,1
16,script-unrelated,9,133,1.7,1,0
16,script-unrelated,24,305,1.7,1,1
16,script-unrelated,3,235,1.7,1,1
16,script-unrelated,30,354,1.7,1,1
16,script-unrelated,27,302,1.7,1,1
16,script-unrelated,21,347,1.7,1,0
16,script-unrelated,15,332,1.7,1,1
17,control,5,791,6.2,6,1
17,control,14,523,6.2,6,1
17,control,8,522,6.2,6,1
17,control,26,285,6.2,6,1
17,control,29,243,6.2,6,1
17,control,23,275,6.2,6,1
17,control,11,345,6.2,6,1
17,control,20,474,6.2,6,1
17,control,2,1129,6.2,6,1
17,control,17,754,6.2,6,1
17,script-related,6,150,6.2,2,1
17,script-related,27,408,6.2,2,1
17,script-related,9,412,6.2,2,0
17,script-related,24,199,6.2,2,1
17,script-related,30,446,6.2,2,1
17,script-related,18,726,6.2,2,1
17,script-related,21,646,6.2,2,1
17,script-related,15,498,6.2,2,0
17,script-related,3,361,6.2,2,1
17,script-related,12,283,6.2,2,1
17,script-unrelated,4,659,1.8,1.818181818,1
17,script-unrelated,13,994,1.8,1.818181818,1
17,script-unrelated,31,275,1.8,1.818181818,1
17,script-unrelated,10,318,1.8,1.818181818,0
17,script-unrelated,28,199,1.8,1.818181818,1
17,script-unrelated,25,230,1.8,1.818181818,1
17,script-unrelated,7,630,1.8,1.818181818,1
17,script-unrelated,22,400,1.8,1.818181818,1
17,script-unrelated,16,158,1.8,1.818181818,1
17,script-unrelated,19,676,1.8,1.818181818,1
17,script-unrelated,1,573,1.8,1.818181818,0
18,control,24,269,6.6,6.545454545,1
18,control,6,141,6.6,6.545454545,1
18,control,3,251,6.6,6.545454545,1
18,control,9,124,6.6,6.545454545,1
18,control,30,404,6.6,6.545454545,1
18,control,18,229,6.6,6.545454545,1
18,control,21,362,6.6,6.545454545,1
18,control,15,393,6.6,6.545454545,1
18,control,27,193,6.6,6.545454545,0
18,control,12,300,6.6,6.545454545,1
18,script-related,22,289,6.6,1.428571429,1
18,script-related,1,639,6.6,1.428571429,1
18,script-related,4,487,6.6,1.428571429,1
18,script-related,10,350,6.6,1.428571429,0
18,script-related,31,233,6.6,1.428571429,1
18,script-related,13,464,6.6,1.428571429,1
18,script-related,25,316,6.6,1.428571429,1
18,script-related,19,581,6.6,1.428571429,0
18,script-related,7,572,6.6,1.428571429,1
18,script-related,28,381,6.6,1.428571429,1
18,script-related,16,159,6.6,1.428571429,1
18,script-unrelated,17,557,1.6,1.083333333,1
18,script-unrelated,23,218,1.6,1.083333333,1
18,script-unrelated,29,209,1.6,1.083333333,1
18,script-unrelated,5,1024,1.6,1.083333333,1
18,script-unrelated,11,196,1.6,1.083333333,1
18,script-unrelated,20,499,1.6,1.083333333,1
18,script-unrelated,8,480,1.6,1.083333333,1
18,script-unrelated,14,416,1.6,1.083333333,1
18,script-unrelated,26,262,1.6,1.083333333,1
19,control,19,300,6.45,6.166666667,1
19,control,28,332,6.45,6.166666667,1
19,control,1,353,6.45,6.166666667,1
19,control,22,428,6.45,6.166666667,1
19,control,7,591,6.45,6.166666667,1
19,control,16,253,6.45,6.166666667,1
19,control,31,258,6.45,6.166666667,1
19,control,10,518,6.45,6.166666667,1
19,control,4,1172,6.45,6.166666667,1
19,control,13,1061,6.45,6.166666667,1
19,control,25,192,6.45,6.166666667,1
19,script-related,5,1069,6.45,2.454545455,1
19,script-related,26,264,6.45,2.454545455,1
19,script-related,20,509,6.45,2.454545455,1
19,script-related,17,834,6.45,2.454545455,1
19,script-related,8,292,6.45,2.454545455,1
19,script-related,14,335,6.45,2.454545455,0
19,script-related,29,208,6.45,2.454545455,1
19,script-related,23,706,6.45,2.454545455,1
19,script-related,2,987,6.45,2.454545455,1
19,script-related,11,453,6.45,2.454545455,0
19,script-unrelated,30,595,1.6,2,1
19,script-unrelated,9,156,1.6,2,0
19,script-unrelated,27,380,1.6,2,1
19,script-unrelated,6,275,1.6,2,1
19,script-unrelated,18,297,1.6,2,1
19,script-unrelated,21,388,1.6,2,0
19,script-unrelated,24,657,1.6,2,1
19,script-unrelated,12,414,1.6,2,1
19,script-unrelated,15,356,1.6,2,1
19,script-unrelated,3,267,1.6,2,1
2,control,20,364,5.95,6.571428571,1
2,control,8,701,5.95,6.571428571,1
2,control,2,528,5.95,6.571428571,1
2,control,29,197,5.95,6.571428571,1
2,control,26,275,5.95,6.571428571,1
2,control,5,524,5.95,6.571428571,1
2,control,23,230,5.95,6.571428571,1
2,control,14,273,5.95,6.571428571,1
2,control,11,267,5.95,6.571428571,1
2,control,17,510,5.95,6.571428571,1
2,script-related,21,386,5.95,3,0
2,script-related,3,306,5.95,3,1
2,script-related,27,327,5.95,3,1
2,script-related,18,238,5.95,3,1
2,script-related,15,413,5.95,3,0
2,script-related,6,178,5.95,3,1
2,script-related,30,452,5.95,3,1
