ItemNum,Condition,RT
80,script-unrelated,484.54545454545456
81,control,359.6
81,script-related,413.27272727272725
81,script-unrelated,526.4
82,control,400.1818181818182
82,script-related,423.8
82,script-unrelated,332.4
83,control,652.6
83,script-related,348.7
83,script-unrelated,596.9090909090909
84,control,318.2
84,script-related,429.6363636363636
84,script-unrelated,480.2
85,control,357.6363636363636
85,script-related,411.9
85,script-unrelated,294.6
86,control,392.9
86,script-related,334.1
86,script-unrelated,439.72727272727275
87,control,352.0
87,script-related,458.45454545454544
87,script-unrelated,595.8
88,control,396.1818181818182
88,script-related,424.2
88,script-unrelated,353.3
89,control,426.0
89,script-related,356.4
89,script-unrelated,509.9
90,control,309.6
90,script-related,432.0
90,script-unrelated,756.9
